,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,prediction_label,prediction_score
0,0.97358644,0.9759727,-0.8505997,0.17592785,-0.7382778,-1.0533792,0.13456053,-1.336775,0.2548831,-0.93661636,1.052126,1.1369823,0.88804567,0.5199902,-0.80035084,0.56023455,1.5994407,-0.24495186,-1.0356703,0.24532925,0.44414815,1.9613274,2.3999116,-0.27113065,0.14903678,0.50175893,-0.12626262,0.22408478,-0.1150244,-0.4041326,0,1.0
1,1.097676,-0.8050182,-0.68244565,0.3701401,-1.3239424,0.6392232,-1.7421029,0.4287882,-1.0455902,-0.99207044,1.183825,-0.8197496,-0.18347512,-0.2738632,-0.93332624,-0.007294169,1.2416451,-0.4456636,-1.5667574,-0.059615962,1.4732057,1.0206747,1.5020702,0.42386407,0.67359525,-0.24168734,-0.7104619,1.5597432,1.6680121,-0.114790104,1,1.0
2,0.8536442,0.8117388,-1.3814058,0.08360175,-0.6149579,-1.5389869,-0.026552448,-1.3786534,0.52270746,-0.6171819,1.0878483,0.8840119,-0.11324982,-1.8107015,-0.19597869,0.87427306,1.6967412,0.07401373,-0.6737813,0.12443034,0.58877707,2.1376393,2.0035615,-0.4529262,0.36860308,0.1138581,-0.15537085,-0.020465259,0.05479817,1.6026565,0,1.0
3,-0.23255497,-1.7925563,1.3801831,-0.51926345,2.041886,0.86750674,2.2382405,-1.8022413,-2.1649916,0.42558438,1.215378,-1.2470324,-1.6249547,0.9841595,1.2579248,0.06460625,-0.030257538,1.2387418,0.2305768,1.3750856,-2.2402139,2.3073282,-2.7642062,2.2820106,-2.497448,-0.3735105,0.39847422,1.8951602,-1.7668169,1.0341879,0,1.0
4,0.7755075,0.83886105,0.07459011,-0.0037628235,1.913694,-0.26243275,-0.115238346,0.05143695,-0.107337534,-0.35387594,0.82207143,-1.5131639,0.29945433,-1.099398,-0.4271927,-0.91222394,0.14546908,-0.43800452,-0.4226019,-0.73218507,-0.51731735,0.023596602,-0.012364178,-0.28236592,0.6601482,1.0753962,0.10305488,-0.14563492,-0.0043175938,0.015468749,1,1.0
5,-1.4926953,-1.6215233,0.15920204,-0.31143227,-2.6863005,-0.1467592,-1.667569,1.6762769,-1.8339796,1.6490744,-1.5156201,-0.7812181,1.2326021,-0.16125683,-0.9243283,0.06168869,-0.93382233,-1.0832641,-0.48777807,-0.13978699,-2.2402139,-0.3330138,0.017800981,-1.4221342,0.73524153,0.23570678,-2.5832407,-1.973634,1.9312016,1.0783372,1,1.0
6,-0.28265533,0.91997355,-0.4293628,0.2039477,-0.5686632,-0.77772963,-0.28257605,-0.8041875,-0.1295898,2.2786345,-1.7341287,0.23632045,-0.70002013,1.1221927,0.9469139,0.7653433,-0.9467288,0.87417096,0.097787604,0.047473747,-0.6280123,-0.20697111,0.4369015,0.19344187,0.05221157,0.64188516,-1.4123616,0.4118439,0.010836957,-0.6438527,0,1.0
7,-1.1307948,-0.3727007,1.0050232,0.806212,-0.2743556,0.9143945,0.028137412,1.5226637,-2.1649916,1.0015401,0.43580115,-0.33345422,-1.6511061,1.3721778,0.42537844,0.20122315,0.16555057,-0.6403719,0.19770727,0.22945069,0.14177711,0.9215164,-1.5898256,-0.023621116,-0.9706379,-0.7309726,-0.07708745,-1.973634,-1.7668169,-0.11241845,0,1.0
8,0.9333568,-2.8386724,-2.4006145,-2.0900187,-0.047048174,-2.3703706,2.2382405,2.614032,-2.1649916,0.6346282,1.8373989,1.4615049,0.08110526,-0.263449,-2.6860247,-0.15457672,2.0918877,-0.53973705,-2.426261,1.0190653,-2.2402139,-2.3720984,1.8218095,-0.78523564,0.19217429,1.4428749,-0.52180713,-1.973634,1.9312016,2.1643522,0,1.0
9,1.0607644,1.0399857,-1.0284082,-0.20829415,-0.8210225,-1.0872928,0.062232487,-1.4805567,0.40446866,-0.5527017,1.2049329,-0.15678467,-0.4037092,-1.6036717,-0.3278844,0.6655484,2.3898861,-0.82508963,0.2790145,1.1164528,0.10057878,1.57001,1.6027665,-0.7528896,-0.9059262,0.7217125,-0.0666948,-0.0050616236,-0.2249362,-0.31291494,1,0.7485
10,0.055770975,-0.18217665,0.1389335,1.2483926,-0.7183311,-0.21323408,-0.16048355,-0.15452066,0.04923985,1.7467752,-2.0165052,0.11563578,-0.9165956,1.1673418,0.90106404,0.8639627,-1.4036512,1.1997007,0.4304867,1.0709723,-0.044345338,0.29770854,1.0631801,0.081856124,0.05992962,-1.619941,-1.4244552,1.4055843,1.6282746,-0.6438527,0,1.0
11,0.62280095,-0.52157277,0.22565383,0.45309886,0.47058252,1.7935846,1.3782014,0.6873751,0.21938477,-0.533984,0.3368961,-0.9230335,0.18035157,-1.1895366,-0.29695448,-0.14503664,-0.6974737,-0.6309782,0.7084359,2.3378384,0.41643593,-0.25379342,-0.107967414,-2.0155306,-2.497448,1.1274121,-0.19804054,-1.6072831,-1.4570521,-0.49316108,0,1.0
